,user,tweet,location,keyword
39,Stick a fork in; I'm done,@RyanPruittNYC It's more than a little.  I have heard that from several young people with little grasp of history and/or are seriously burned out.  Of course that strategy doesn't work.  It's like being a literal Arsonist.,Northern California ,arsonist
40,—ethan loves quackity—,@miasdreaming hi i love you too &lt;3,i’m literally vibin,arsonist
41,—ethan loves quackity—,heLlo! please reply with quackity pictures/ memes it would be very much appreciated😎👨‍❤️‍💋‍👨🧍🏻,i’m literally vibin,arsonist
42,Esteban Bornstein,"I had an equally damning treasure trove of docs that prove Trump killed Jimmy Hoffa and buried him on the 18th Green at Bushwick. Unfortunately, I left them on  a park bench, where they were burned up by a mad arsonist wielding a blowtorch and a copy of ""Mother Goose."" https://t.co/Wpp9OeX1nf",,arsonist
43,—ethan loves quackity—,@jcnootfound short,i’m literally vibin,arsonist
44,—ethan loves quackity—,@ihateclayblock tall,i’m literally vibin,arsonist
45,✞IMO✞HY,🤨Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/eNCNOBaPNQ,,arsonist
46,—ethan loves quackity—,bruh i so wish i had the money and/or the equipment to start streaming hhhhhh i really want to start streaming,i’m literally vibin,arsonist
47,The Only Tony You'll Ever Need,"@AC360 Bob Woodward saw the arsonist
Buy the gas and Strike the match.

But he didn't call the cops, he wrote a book about it.

Remember that.","Charlotte, NC The Queen City",arsonist
48,mia! yuno ♡,"@catboysyrup arsonist
cat
boy",She/Her They/Them! Age : 16,arsonist
49,GONZMO,@paulfdubois @aishahhasnie @JoeBiden @KamalaHarris Lol no this is trumps america we are currently in and trump hasn't done anything to fix things in the eyes of the people. Biden already condemned looters and arsonist at the debate and said police should focus on detaining criminals over controlling and inceiting protest crowds.,,arsonist
50,Swäv 🔱,"@kantian75 @snugwarms @SharS_Aza @itsa_talia @coldxman Peaceful protester Vs violent arsonist/vandalism (domestic terrorist). Justified or not. I discern which is it, based on what I see. I do that w/each case and if it's legit for me. I'd look for others assessments to see if I'm missing something &amp; re-evaluate if necessary.",NJ / Gdańsk,arsonist
51,🕷ZUZU the 666th spice girl🕸 (ia),@ar17ona people think imma be an arsonist though which is nice,,arsonist
52,myla🌸,my main name on among us will be arsonist until i can come up with something better,,arsonist
53,Benjamin,@TortugaEP @BobMooreNews @WilHerrenKVIA @moodyforelpaso @mayor_margo Rubiks laid out the best example to follow my friend. El Paso is on fire. Be a firefighter not an arsonist.,"The Woodlands, TX",arsonist
54,Cyrus Leland Cohen,I submitted an application to a young critics program that was mostly me talking about my trauma &amp; future potential as an arsonist through the lens of Midsommar. Shocking they passed.,"New York, NY",arsonist
55,James Swinbanks,“Fire is good actually” says local arsonist https://t.co/7UbW1fkc2M,Sydney - Australia,arsonist
56,Best New Actor Choi Youngjae🌙📻🎬,"If an Arsonist were to ""joke"" about calling any of the rest of Got7 ug*y imagine how ahgases would be.
Just imagine it.",Argentina,arsonist
57,"photobysjb 🦻get ur mask on, 2m , less touching",Barry Turnbull: Evil arsonist told ex partner he would torch her home and sent cuttings of Philpotts family - North Wales Live this what was in court  https://t.co/HlsZSeN67z,,arsonist
58,sgap bot,spiteful grad arsonist peasant,sgap bot,arsonist
59,Skip Palenik,"In most of the fires set by the Washington, DC arsonist, the incendiary device went up in flames.",In The Lab,arsonist
60,Patricia Dumas,#CrimesGoneViral I don't know who is stupider.. the arsonist or the victim. 🥴,Living at The Jersey Shore,arsonist
61,"love, marissa","i love cat cuz like over 70 bodies but i think maybe scratch, foyet, and the first arsonist i forgot her name https://t.co/db313dpjox",idle town | minor asf,arsonist
62,ZiLaLa 🇭🇺🇨🇦🇺🇸🇬🇹,@BernieSanders Just curious why climate only cause fires on the west coast &amp; is typical started by an arsonist or irresponsible person?,,arsonist
63,munny 🦇 project soleil!,@snaketxt absolutely not atsu is fine having just one (1) serial arsonist as a friend,canada,arsonist
64,lala,yj already gets hit the hardest when stans outside of ahgases wanna call the sevens ugly and then yall wanna DO IT TOO? naw fuck yall dont talk about him if you not an arsonist idgaf,kjh 💛 s/her,arsonist
65,gay victoria pedretti,"@kalianefayepoet did this, so i thought it’d be interesting to apply it to the current era in my writing, especially with my editing of the blazing heart of a moonlight arsonist that’s underway.  give it a like &amp; truths will be ✨revealed✨: https://t.co/yxcFIe8QbJ","grand rapids, mi",arsonist
