,user,tweet,location,keyword
36,Matthew hill,AMD is ON FIRE https://t.co/mvD7Jp5A1k via @YouTube,"Ontario, Canada Toronto",fire
37,Change(JR),and I made a fire beat after all that so fuck it,"Fort Worth, TX",fire
38,@Shifi.com.⭕⭕🔪🏇💡🐝🌸,@fire_lovly @thulis_23 @BSheiflah i follow back.,"Kampala, Uganda",fire
39,45th parallel absurdist brigade,"gosh, it's a good thing that police were the only people injured during the current protests in DC.

because if there were other injuries, surely that would make the headline, right?

just like, if there's a fire, you only put ""two firefighters injured"" if nobody else got hurt. https://t.co/Q6el9YJm2X",Exploding Whale Memorial Park,fire
40,atxfiregirl,"1. Reject misinformation
2. Be patient - set the expectation that there will NOT be a clear winner on 11/3
3. Election day is more correctly called, ""Counting Day.""

Sage words from @maddow and @MSNBC 

#VOTE #VoteThemOut #VoteBlueToSaveAmerica 💙","austin, tx",fire
41,AZERTAC News Agency,Defense Ministry: Azerbaijan Army units destroy enemy's personnel by accurate fire VIDEO https://t.co/2FoZ21xJRP #Azerbaijan https://t.co/b5QTN0uYFm,Azerbaijan,fire
42,AZERTAC News Agency,Ministry of Defense: Azerbaijani Army destroys the enemy that subjected to fire our cities and regions VIDEO https://t.co/FbyeH7mEgE #Azerbaijan https://t.co/V9pegOHEE3,Azerbaijan,fire
43,gurren lagann is fhe best anime of all time.,"@a_u_die Idk man yellow lookin kinda nice with tokyo ghoul, 7ds, darling in the franxx, akame ga kill, and fire force 🥶🥶",,fire
44,jessica.,you couldn’t see him without seeing me. chile you would have thought we were one person. but now? i wouldn’t piss on that nigga if he was on fire.,nola. ,fire
45,Arpit Sachan,"It has been six days since this fire started in the Nathan valley.Hundreds of trees have been burned and animals https://t.co/M4poJmi7hL action has been taken yet.
#savenathanvalley 
@jairamthakurbjp @ndtv @hp_tourism @PMOIndia https://t.co/02dhDT9tJ1","Lucknow, India",fire
46,✨Fire✨ - RWBY era,"@GLlTRA Help why is this funny but also the dude is absolutely ✨awful✨
Geez why's he screaming sm x3",,fire
47,Galdino Saquarema,"@_lianna___ @fire_lovly @Aliiyah_Khan ..  Good  morning ..
.♥   .♥  .♥  . ♥
   .♥.. #IFB .  ♥
     ..♥.. ♥..♥️.
          .♥  .♥..
            .. ♥..
... Follow  Back ...",Brasil 🌎 🇧🇷,fire
48,Red Rocks Fan,@AndrewFeinberg hot fire! That was awesome!,Denver,fire
49,D A N,This promo is fire 🔥 imo Becky is the best female mic worker of all time and it’s promos like these that prove it. Everytime she’s talking people listen. https://t.co/X2qHH4FIY9,Missing Becky (alot) ,fire
